"","original_name","species_list_name"
"3741","Alnus - Species Unknown","Alnus Spp."
"3742","Platanus x acerifolia","Platanus x acerifolia"
"3743","Pinus nigra","Pinus nigra"
"3744","Platanus x acerifolia","Platanus x acerifolia"
"3745","Prunus - Species Unknown","Prunus Spp."
"3746","Platanus x acerifolia","Platanus x acerifolia"
"3747","Acer pseudoplatanus","Acer pseudoplatanus"
"3748","Tilia x europea","Tilia x europea"
"3749","Acer davidii","Acer davidii"
"3750","Tilia x europea","Tilia x europea"
"3751","Platanus x acerifolia","Platanus x acerifolia"
"3752","Castanea sativa","Castanea sativa"
"3753","Crataegus monogyna","Crataegus monogyna"
"3754","Carpinus betulus","Carpinus betulus"
"3755","Corylus colurna","Corylus colurna"
"3756","Betula pendula","Betula pendula"
"3757","Robinia pseudoacacia","Robinia pseudoacacia"
"3758","Quercus robur","Quercus robur"
"3759","Prunus x yedoensis","Prunus x yedoensis"
"3760","Tilia x euchlora","Tilia x euchlora"
"3761","Alnus glutinosa","Alnus glutinosa"
"3762","Acer pseudoplatanus","Acer pseudoplatanus"
"3763","Malus trilobata","Malus trilobata"
"3764","Acer pseudoplatanus Leopoldii","Acer pseudoplatanus Leopoldii"
"3765","Prunus cerasifera Pissardii","Prunus cerasifera Pissardii"
