"","original_name","species_list_name"
"20015","Buddleia davidii","NA NA"
"20026","Mixed Species Group","NA NA"
"20057","X Cupressocyparis leylandii","NA NA"
"20285","No Code Allocated","NA NA"
"20290","X Cupressocyparis l. Castlewel","NA NA"
"20297","Mixed Species Group","NA NA"
"20374","Ulmus Dodoens","Ulmus NA"
"20380","Mixed Species","NA NA"
"20429","Mixed Species Group","NA NA"
"20451","Ilex aquifolium Albomarginata","Ilex aquifolium NA"
"20494","No Code Allocated","NA NA"
"20514","X Cupressocyparis leylandii","NA NA"
"20534","Malus yunnanensis veitchii","Malus yunnanensis NA"
"20536","No Code Allocated","NA NA"
"20658","No Code Allocated","NA NA"
"20698","Betula pendula Edinburgh","Betula pendula NA"
"20902","X Cupressocyparis leylandii","NA NA"
"20932","X Cupressocyparis leylandii","NA NA"
"20979","Ilex aquifolium Albomarginata","Ilex aquifolium NA"
"21028","Ilex aquifolium Albomarginata","Ilex aquifolium NA"
"21031","Chitalpa taschkentensis Sum Ba","NA NA"
"21040","Mixed Species Group","NA NA"
"21069","Mixed Species","NA NA"
"21101","Betula pendula Edinburgh","Betula pendula NA"
"21352","Malus yunnanensis veitchii","Malus yunnanensis NA"
"21487","No Code Allocated","NA NA"
"21513","Mixed Species Group","NA NA"
"21548","Mixed Species","NA NA"
"21560","No Code Allocated","NA NA"
"21571","Malus yunnanensis veitchii","Malus yunnanensis NA"
"21606","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"21634","Malus yunnanensis veitchii","Malus yunnanensis NA"
"21694","Malus yunnanensis veitchii","Malus yunnanensis NA"
"21734","Ulmus Dodoens","Ulmus NA"
"21743","Mixed Species","NA NA"
"21770","X Cupressocyparis l. Castlewel","NA NA"
"21777","Mixed Species Group","NA NA"
"21839","Mixed Species","NA NA"
"21843","Prunus japonica cv","Prunus NA"
"21859","No Code Allocated","NA NA"
"21887","Mixed Species","NA NA"
"21925","Betula pendula 'Obelisk'","Betula pendula NA"
"21936","No Code Allocated","NA NA"
"21963","Betula pendula Edinburgh","Betula pendula NA"
"22029","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"22037","Betula pendula 'Obelisk'","Betula pendula NA"
"22038","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"22071","X Cupressocyparis leylandii","NA NA"
"22101","Betula pendula 'Obelisk'","Betula pendula NA"
"22102","Mixed Species","NA NA"
"22108","X Cupressocyparis leylandii","NA NA"
"22120","Salix alba Coerulea","Salix alba NA"
"22123","X Cupressocyparis l. Castlewel","NA NA"
"22162","Pinus wallichiana Nana","Pinus wallichiana NA"
"22484","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"22498","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"22500","No Code Allocated","NA NA"
"22631","X Cupressocyparis l. Castlewel","NA NA"
"22645","No Code Allocated","NA NA"
"22661","Prunus 'Accolade'","Prunus NA"
"22673","Mixed Species","NA NA"
"22689","X Cupressocyparis l. Castlewel","NA NA"
"22837","Mixed Species Group","NA NA"
"22839","Crataegus orientalis","Crataegus NA"
"22885","Prunus 'Accolade'","Prunus NA"
"22906","X Cupressocyparis l. Castlewel","NA NA"
"22921","X Cupressocyparis leylandii","NA NA"
"22928","No Code Allocated","NA NA"
"22941","Unknown species - Broadleaf","NA NA"
"22979","X Cupressocyparis leylandii","NA NA"
"23017","Betula pendula Edinburgh","Betula pendula NA"
"23072","No Code Allocated","NA NA"
"23077","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"23080","No Code Allocated","NA NA"
"23147","Mixed Species","NA NA"
"23211","Betula pendula Edinburgh","Betula pendula NA"
"23342","X Cupressocyparis leylandii","NA NA"
"23351","Mixed Species","NA NA"
"23357","Mixed Species","NA NA"
"23386","Pyracantha - Species Unknown","NA NA"
"23410","Betula pendula 'Obelisk'","Betula pendula NA"
"23451","No Code Allocated","NA NA"
"23479","Mixed Species","NA NA"
"23499","Chamaecyparis lawsoniana Young","Chamaecyparis lawsoniana NA"
"23618","Mixed Species","NA NA"
"23743","No Code Allocated","NA NA"
"23776","Mixed Species Group","NA NA"
"23797","Mixed Species","NA NA"
"23909","Betula pendula Edinburgh","Betula pendula NA"
"23988","Mixed Species Group","NA NA"
"24030","X Cupressocyparis leylandii","NA NA"
"24042","Mixed Species Group","NA NA"
"24048","Liquidamber s. Slender Silhout","NA NA"
"24155","No Code Allocated","NA NA"
"24298","Ulmus Dodoens","Ulmus NA"
"24345","Mixed Species","NA NA"
"24441","Ilex aquifolium Aureomarginata","Ilex aquifolium NA"
"24457","Mixed Species","NA NA"
"24486","Malus yunnanensis veitchii","Malus yunnanensis NA"
"24504","Mixed Species Group","NA NA"
"24614","No Code Allocated","NA NA"
"24630","No Code Allocated","NA NA"
"24670","Unknown species - Broadleaf","NA NA"
"24684","Prunus 'Accolade'","Prunus NA"
"24703","X Cupressocyparis leylandii","NA NA"
"24722","Ilex aquifolium Aureomarginata","Ilex aquifolium NA"
"24859","X Cupressocyparis leylandii","NA NA"
"24983","Mixed Species Group","NA NA"
"25039","No Code Allocated","NA NA"
"25054","Betula pendula Edinburgh","Betula pendula NA"
"25075","Betula pendula 'Obelisk'","Betula pendula NA"
"25118","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"25133","X Cupressocyparis leylandii","NA NA"
"25152","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"25153","Unknown species - Conifer","NA NA"
"25179","No Code Allocated","NA NA"
"25180","No Code Allocated","NA NA"
"25194","X Cupressocyparis leylandii","NA NA"
"25213","Ilex aquifolium Aureomarginata","Ilex aquifolium NA"
"25230","No Code Allocated","NA NA"
"25277","Prunus Kiku-shidare","Prunus NA"
"25284","Unknown species - Broadleaf","NA NA"
"25378","No Code Allocated","NA NA"
"25402","X Cupressocyparis leylandii","NA NA"
"25420","No Code Allocated","NA NA"
"25434","Mixed Species","NA NA"
"25435","Mixed Species","NA NA"
"25499","Mixed Species","NA NA"
