Asset ID;Site Name;Plot Number;Feature ID;Location;Type;Primary Measure;Unit;Site Code;Feature GP;x;y;Dead;Classification;Extent Easting 1;Extent Northing 1;Extent Easting 2;Extent Northing 2;Layers;Latin code;Latin name;Feature type name;Common name;Full common name;Crown height;Crown width;Crown area;Trunk diameter at 1.3m;Location risk zone;Epicormic;Insurance claim history;geo_shape;geo_point_2d,,,,
"38763;Wharnecliffe Gardens South;100069;;;Tree - Housing;1;Number;WHARGASO;TR;360919.93;168154.3;N;;;;;;;SOAU;Sorbus aucuparia;Tree - Housing;Rowan;Rowan;2;4;Up to 20 M2 (New);10 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.563291257712634"," 51.411054295073974]}"";51.4110542951",-2.563291258,
"42585;Clifton and Durdham Downs;102038;;;Tree - Highways Adopted;1;Number;DURDDO;TR;356721.46;173188.68;N;;;;;;;CRMO;Crataegus monogyna;Tree - Highways Adopted;Hawthorn;Common hawthorn;3;3;Up to 20 M2 (New);32 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.624271084761539"," 51.456012798689606]}"";51.4560127987",-2.624271085,
"00201724;Victoria Park;100625.5;;Sponsored tree memorial (see notes);Tree - Parks and Green Space;1;Number;VICTPA;TR;359468.39;171649.63;N;;;;;;;LITU;Liriodendron tulipifera;Tree - Parks and Green Space;Tulip Tree;Tulip tree;No;No;;No Code Allocated;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.584561734900725"," 51.442378987615406]}"";51.4423789876",-2.584561735,
"28059;Station Road Flats 102-172;100017;;;Tree - Housing;1;Number;STATROFL1;TR;356432.97;179336.48;N;;;;;;;SEG1;Sequoiadendron giganteum;Tree - Housing;Redwood;Wellingtonia;15;6;20.1 - 100 M2 (New);No Code Allocated;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.629183409153628"," 51.51126515266294]}"";51.5112651527",-2.629183409,
"00194055;The Coots;100005.1;;;Tree - Housing;1;Number;THECO;TR;362293.34;168937.36;N;;;;;;;SOAU;Sorbus aucuparia;Tree - Housing;Rowan;Rowan;4;3;Up to 20 M2 (New);7 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.543628561534784"," 51.418188213123685]}"";51.4181882131",-2.543628562,
"00174521;Wharnecliffe Gardens South;100063.5;;;Tree - Housing;1;Number;WHARGASO;TR;360821.56;168067.36;N;;;;;;;SANI;Sambucus nigra;Tree - Housing;Elder;Elder;4;26;100.1 - 200 M2 (New);No Code Allocated;Zone D - Low;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.564695936779501"," 51.41026579469103]}"";51.4102657947",-2.564695937,
"00280137;Briery Leaze Road Open Space;100127;;;Tree - Parks and Green Space;0;Number;WHITPH2;TR;360223.36;168275.66;N;;;;;;;NA;No Code Allocated;Tree - Parks and Green Space;;;No;No;;No Code Allocated;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.573319824465273"," 51.412096881233204]}"";51.4120968812",-2.573319824,
"00199979;Whitchurch Railway Path;100028;;;Tree - Parks and Green Space;1;Number;WHITRAPA;TR;361441.09;168374.19;N;;;;;;;CRMO;Crataegus monogyna;Tree - Parks and Green Space;Hawthorn;Common hawthorn;2;2;Up to 20 M2 (New);6 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.555822262929537"," 51.41306715150792]}"";51.4130671515",-2.555822263,
"00279544;Whitchurch Railway Path;100001.3;;;Tree - Parks and Green Space;0;Number;WHITRAPA;TR;361486.23;168038.96;N;;;;;;;SOZZ;Sorbus - Species Unknown;Tree - Parks and Green Space;Sorbus;Unidentified Sorbus;2;1;;10 Centimetres;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.555136712039538"," 51.41005611643352]}"";51.4100561164",-2.555136712,
"00058124;St George Park;100631;;;Tree - Parks and Green Space;1;Number;STGEPA;TR;362076.99;173631.69;N;;;;;;;PLAC;Platanus x acerifolia;Tree - Parks and Green Space;Plane;London plane;19;19;350.1 Plus M2 (New);74 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.547244032097062"," 51.460381147522995]}"";51.4603811475",-2.547244032,
