Identifier,Sequence,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Physiological Condition,Capital Asset Value For Amenity Trees,Number Of Trees,Site Name,Site Address,Contract Area,Inspection Date,Inspection Due Date,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Organisation URI
21798,66,Fraxinus excelsior,Ash,12,12,44,Mature,Fair,£18797.11,1,Waxham/Ludham Estate,,Housing,21/04/2017,2020/2021,E05000134,Gospel Oak,527945,185371,-0.155973,51.552728,"(51.552728, -0.155973)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
11106,6,Prunus kanzan,Cherry - Double pint,8,5,42,Mature,Fair,£8880.73,1,HOWITT ROAD,HOWITT ROAD NW3,Highways,19/06/2015,2018/2019,E05000128,Belsize,527315,184992,-0.165189,51.549463,"(51.549463, -0.165189)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
18453,3,Carpinus betulus 'Fasticiata',Hornbeam,14,10,46,Mature,Fair,£17120.65,1,SPENCER RISE,SPENCER RISE NW5,Highways,11/07/2017,2020/2021,E05000137,Highgate,528974,186028,-0.140894,51.558404,"(51.558404, -0.140894)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
22711,3,Sorbus,Rowan,7,4,20,Middle aged,Fair,£3452.18,1,WREN STREET,WREN STREET WC1,Highways,16/04/2016,2019/2020,E05000141,King's Cross,530888,182441,-0.11464,51.525723,"(51.525723, -0.11464)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
53219,220,Sorbus aria,Whitebeam,3,2,5,Juvenile,Good,£239.74,1,Curnock St Estate,,Housing,01/08/2016,2019/2020,E05000143,St Pancras and Somers Town,529193,183577,-0.138638,51.536323,"(51.536323, -0.138638)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
8328,15,Platanus x hispanica,London plane,18,10,70,Mature,Good,£37003.04,1,GOWER STREET,GOWER STREET NW1 WC1,Highways,31/05/2016,2019/2020,E05000129,Bloomsbury,529801,181844,-0.130511,51.52061,"(51.52061, -0.130511)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
20035,1,Tilia europaea,Lime - Common,15,10,51,Mature,Good,£25253.76,1,"TALACRE ROAD, OPEN SPACE (LS)","TALACRE ROAD, OPEN SPACE (LS)",Parks,20/03/2017,2019/2020,E05000136,Haverstock,528451,184742,-0.1489,51.54696,"(51.54696, -0.1489)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
12632,7.33,Pyrus calleryana 'Chanticclere,Pear - Chanticclere,7,4,19,Mature,Good,£2336.69,1,LEIGHTON GROVE,LEIGHTON GROVE NW5,Highways,29/06/2017,2020/2021,E05000139,Kentish Town,529481,185340,-0.133846,51.552101,"(51.552101, -0.133846)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
4911,23,Fraxinus excelsior,Ash,14,14,54,Mature,Fair,£28312.17,1,CROFTDOWN ROAD,CROFTDOWN ROAD NW5,Highways,05/07/2017,2020/2021,E05000137,Highgate,528456,186144,-0.148316,51.559565,"(51.559565, -0.148316)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
15762,132,Acer pseudoplatanus,Sycamore,9,4,21,Middle aged,Fair,£3806.03,1,"PARLIAMENT HILL, (E)",Highgate Road,Education,26/09/2017,2020/2021,E05000137,Highgate,528258,185922,-0.151251,51.557611,"(51.557611, -0.151251)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
3090,20,Platanus x hispanica,London plane,24,18,107,Mature,Fair,£111161.21,1,"MURRAY ST,CAMDEN SQ PLAYCENTRE (CL)","MURRAY ST,CAMDEN SQ PLAYCENTRE (CL)",Corporate Landlord,24/02/2016,2018/2019,E05000131,Cantelowes,529564,184449,-0.132967,51.544072,"(51.544072, -0.132967)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
191,19,Betula pendula,Birch - Silver,16,10,47,Mature,Good,£11915.41,1,ACLAND BURGHLEY SCHOOL (E),Burghley Road,Education,24/07/2017,2020/2021,E05000139,Kentish Town,529032,185865,-0.140121,51.556919,"(51.556919, -0.140121)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
37342,6,Prunus serrula,Cherry - Tibetan,5,5,20,Middle aged,Good,£2589.13,1,Estate Parkside Court (Flats 1-10 cons),,Housing,14/09/2016,2019/2020,E05000130,Camden Town with Primrose Hill,528585,183666,-0.147365,51.537262,"(51.537262, -0.147365)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
54472,28,Prunus subhirtella,Cherry - Rosebud,4,3,6,Juvenile,Fair,£258.91,1,RHYL STREET,RHYL STREET NW5,Highways,25/07/2017,2020/2021,E05000136,Haverstock,528378,184834,-0.149919,51.547809,"(51.547809, -0.149919)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
50428,52,Sorbus aucuparia 'Asplenifolia,Rowan - Cut leaved,5,1,5,Juvenile,Fair,£239.74,1,SOUTH GROVE,SOUTH GROVE N6,Highways,04/07/2017,2020/2021,E05000137,Highgate,528322,187307,-0.149827,51.570046,"(51.570046, -0.149827)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
22061,74,Carpinus betulus,Hornbeam,8,5,29,Middle aged,Good,£8165.48,1,Wendling Estate,,Housing,19/04/2017,2020/2021,E05000134,Gospel Oak,527889,185313,-0.156797,51.552223,"(51.552223, -0.156797)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
3135,34,Tilia europaea,Lime - Common,18,7,56,Mature,Fair,£23681.94,1,CAMDEN SCHOOL FOR GIRLS (E),Sandall Road,Education,11/11/2015,2018/2019,E05000131,Cantelowes,529437,184540,-0.134773,51.544924,"(51.544924, -0.134773)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
14702,2,Acer platanoides 'Unknown vari,Maple - Norway,11,8,38,Mature,Fair,£9692.95,1,MOUNT PLEASANT,MOUNT PLEASANT WC1,Highways,20/04/2016,2019/2020,E05000138,Holborn and Covent Garden,531059,182200,-0.112261,51.523518,"(51.523518, -0.112261)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
10424,71,Aesculus hippocastanum,Horse Chestnut,22,14,54,Mature,Fair,£28312.17,1,Hilgrove Estate 1,,Housing,07/10/2015,2018/2019,E05000144,Swiss Cottage,526545,184005,-0.176641,51.540773,"(51.540773, -0.176641)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
32816,43,Betula pendula,Birch - Silver,7,5,17,Middle aged,Dead,£2078.50,1,Lamble Street Estate,,Housing,25/04/2017,2020/2021,E05000134,Gospel Oak,528192,185470,-0.15237,51.553568,"(51.553568, -0.15237)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
20358,25,Tilia europaea,Lime - Common,21,11,58,Mature,Good,£32661.92,1,Templar House Estate,,Housing,20/05/2015,2018/2019,E05000132,Fortune Green,524591,184749,-0.204537,51.547887,"(51.547887, -0.204537)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
2613,2,Platanus x hispanica,London plane,22,10,83,Mature,Fair,£52023.25,1,BROOKE'S MARKET,BROOKE'S MARKET EC1,Highways,25/05/2016,2019/2020,E05000138,Holborn and Covent Garden,531194,181756,-0.110484,51.519497,"(51.519497, -0.110484)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
15628,36,Tilia euchlora,Lime - Caucasian,12,4,51,Mature,Fair,£19641.82,1,PARLIAMENT HILL,PARLIAMENT HILL NW3,Highways,19/07/2017,2020/2021,E05000135,Hampstead Town,527317,185693,-0.16491,51.555769,"(51.555769, -0.16491)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
48040,24,Betula pendula,Birch - Silver,6,2,8,Juvenile,Fair,£414.26,1,FAIRFAX ROAD,FAIRFAX ROAD NW6,Highways,23/09/2015,2018/2019,E05000144,Swiss Cottage,526430,184465,-0.178137,51.544933,"(51.544933, -0.178137)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
